RA,JC,AA,PA,PPS,SPS,Label
0.009111332,0.018181818,2.336031841,134028,0.060633906,0.013474201,1
0.005649718,0.041666667,0.193193793,66,0.577350269,0.123091491,1
0.524698824,0.026688907,6.972804178,57918,0.215758486,0.069986564,1
6.85E-05,0.014492754,0.104288589,1000,0.064549722,0.033709993,1
0.018518519,0.015873016,0.250690398,124,0.5,0.090535746,1
8.42E-06,0.001369863,0.085583111,86718,0,0.003407556,1
0.084189048,0.006628614,5.317982684,446872,0.041384546,0.049106562,1
1.41E-05,0.003766478,0.165536356,5230,0.056121353,0.01495706,1
0,0,0,770,0,0,1
0.023809524,0.00140056,0.267546386,2136,0.04794633,0.021744269,1
0.000513347,0.004310345,0.132020896,4452,0.041996053,0.015547381,1
0.000790532,0.00610998,0.327448495,10384,0.170940865,0.029471311,1
0.021244064,0.051282051,0.747697625,1105,0.143039708,0.088561489,1
0,0,0,203,0,0,1
0.211795929,0.219512195,2.33252765,400,0.821583836,0.421637021,1
0.018362227,0.025125628,1.450169931,41132,0.059128009,0.022985469,1
0,0,0,612,0,0,1
2.69E-06,0.006369427,0.077968063,312,0.102062073,0,1
0.004001969,0.024590164,0.426442125,1356,0.135250445,0.062622429,1
0.145562814,0.000359893,6.297569161,23388092,0.062952457,0.027749149,1
0.007194245,0.090909091,0.202655848,20,0.267261242,0,1
0.031880886,0.066037736,1.270983149,2380,0.275009549,0.128388148,1
0.273487777,0.107758621,5.373220358,16050,0.203171473,0.158004196,1
0.19333562,0.048723898,4.099380387,49707,0.217642875,0.125656172,1
0.002409639,0.009615385,0.165884837,1274,0.048795004,0,1
0.006274615,0.024096386,0.341549651,750,0.141421356,0.081649658,1
0.682572057,0.038235294,5.879938991,77520,0.144149994,0.051587529,1
0.004142446,0.003968254,0.915840014,35020,0.05468483,0.037974001,1
0.203218918,0.110718492,14.54783509,220332,0.260330973,0.109684754,1
0.173529791,0.02141527,3.932082152,299130,0.028146689,0.0126259,1
1.31E-06,0.000678887,0.073830359,4413,0.060192927,0.015167192,1
0,0,0,174,0,0,1
0,0,0,42,0,0,1
0,0,0,4,0,0,1
0.005403002,0.018691589,1.632831347,37630,0.275537537,0.036525274,1
0,0,0,44,0,0,1
0.376474926,0.020547945,1.355640162,2470,0.064549722,0,1
0.004177242,0.005988024,0.308867506,7199,0.024446663,0,1
2.458093397,0.804878049,12.37127699,1368,0.730296743,0.379628301,1
0.000627336,0.026578073,1.511661592,90720,0.116368667,0.043391227,1
0,0,0,1108,0,0,1
0,0,0,234,0,0,1
0.003263268,0.002803738,0.437889766,62682,0.011947167,0.012127376,1
0,0,0,30,0,0,1
0.000390106,0.015873016,0.592085867,36828,0.138568499,0.03126527,1
0.009713642,0.055555556,0.73683777,2226,0.213980246,0.088173343,1
0.000564948,0.002666667,0.244358727,42780,0,0.009748561,1
0,0,0,473,0,0,1
