RA,JC,AA,PA,PPS,SPS,Label
0.054705629,0.007734451,3.338660828,369492,0.082794621,0.045741703,1
0.000879311,0.012578616,0.436156525,4312,0.163027829,0.031606977,1
0,0,0,1448,0,0,1
0,0,0,1302,0,0,1
0.326095724,0.085271318,2.773474538,4851,0.358057437,0.136797114,1
0.000745268,0.00103146,0.374408215,73397,0.068781745,0.011123936,1
0,0,0,50,0,0,1
0.001350304,0.000786645,0.9687144,160104,0.089704462,0.022498594,1
0.000208112,0.002197802,0.293893019,20295,0.102597835,0.021066252,1
0,0,0,6,0,0,1
0.098509758,0.023199023,5.916428506,98515,0.084151649,0.095729033,1
0,0,0,353,0,0,1
0.012918741,0.047244094,0.85989371,2070,0.530330086,0.091573709,1
0,0,0,20739,0,0,1
0.005882353,0.010752688,0.194711691,1053,0,0.059868434,1
0.001019391,0.011904762,0.229512006,1449,0.152943823,0.026435053,1
0.000798352,0.007782101,0.253163097,1764,0.056343617,0.049629167,1
0.014890832,0.066079295,1.844191726,14640,0.250929717,0.102657887,1
0.05443808,0.157534247,3.634955482,4488,0.626935506,0.329608822,1
0.005990752,0.026169265,4.886544816,399592,0.197755845,0.072907025,1
0.094136223,0.019161677,2.763680113,161310,0.092428091,0.034028076,1
0.008260409,0.010238908,0.863965429,62016,0.03305898,0.022459154,1
0.027638959,0.085987261,3.71698175,25038,0.294661577,0.167567658,1
0.171682137,0.060465116,6.330729347,61268,0.204986607,0.070638635,1
